Provinsi,Pencari Kerja Terdaftar - Laki-Laki,Pencari Kerja Terdaftar - Perempuan,Pencari Kerja Terdaftar - Jumlah,Lowongan Kerja Terdaftar - Laki-Laki,Lowongan Kerja Terdaftar - Perempuan,Lowongan Kerja Terdaftar - Jumlah,Penempatan/Pemenuhan Tenaga Kerja - Laki-Laki,Penempatan/Pemenuhan Tenaga Kerja - Perempuan,Penempatan/Pemenuhan Tenaga Kerja - Jumlah
Aceh,83464,63586,147050,63277,39358,102635,52731,32798,85529
Sumatera Utara,224983,177591,402574,113604,77186,190790,104670,74322,178992
Sumatera Barat,92978,74111,167089,55064,34744,89808,45887,28953,74840
Riau,269302,100599,369901,70716,25791,96507,58930,21492,80422
Jambi,59306,46998,106304,36495,16611,53106,30415,13843,44258
Sumatera Selatan,140677,103034,243711,94250,48103,142353,86041,47586,133627
Bengkulu,44062,38533,82595,24047,12937,36984,20039,10781,30820
Lampung,101747,67421,169168,90786,66540,157326,75655,55450,131105
Kepulauan Bangka Belitung,36823,33440,70263,11867,6152,18019,9889,5127,15016
Kepulauan Riau,75653,57433,133086,11210,5395,16605,9341,4496,13837
DKI Jakarta,617747,401225,1018972,49098,31605,80703,40915,26337,67252
Jawa Barat,777393,533501,1310894,399763,195736,595499,309636,139613,449249
Jawa Tengah,497633,353022,850655,249081,153068,402149,207567,127557,335124
DI Yogyakarta,91267,62740,154007,27059,19458,46517,22549,16215,38764
Jawa Timur,540115,385684,925799,310376,192167,502543,258647,160139,418786
Banten,220941,155280,376221,94899,46956,141855,79082,39130,118212
Bali,159031,100147,259178,33830,22801,56631,28191,19001,47192
Nusa Tenggara Barat,112899,64917,177816,65788,50553,116341,54823,42128,96951
Nusa Tenggara Timur,58939,49677,108616,55177,45836,101013,45981,38196,84177
Kalimantan Barat,72855,56280,129135,45003,24176,69179,37502,20147,57649
Kalimantan Tengah,56607,49514,106121,20648,8614,29262,17207,7178,24385
Kalimantan Selatan,93590,76970,170560,34725,18332,53057,28937,15277,44214
Kalimantan Timur,108556,80846,189402,22927,10290,33217,19106,8575,27681
Kalimantan Utara,19112,17901,37013,6362,2022,8384,5302,1685,6987
Sulawesi Utara,58892,53108,112000,23028,11381,34409,19190,9484,28674
Sulawesi Tengah,49014,42549,91563,27856,15688,43544,23214,13073,36287
Sulawesi Selatan,156778,139531,296309,69025,38179,107204,62521,36816,99337
Sulawesi Tenggara,53851,45578,99429,22626,14409,37035,18855,12007,30862
Gorontalo,40151,33783,73934,8490,4188,12678,7075,3490,10565
Sulawesi Barat,39766,34548,74314,14635,7867,22502,12196,6556,18752
Maluku,41318,37207,78525,18755,11604,30359,15629,9670,25299
Maluku Utara,11058,9841,20899,10821,6073,16894,9017,5061,14078
Papua Barat,9280,7485,16765,8105,6984,15089,6754,5820,12574
Papua,12160,10227,22387,11961,9083,21044,10968,8569,19537
Indonesia,5027948,3564307,8592255,2201354,1279887,3481241,1834462,1066572,2901034
