Provinsi,Angkatan Kerja - Bekerja,Angkatan Kerja Pengangguran - Pernah Bekerja,Angkatan Kerja Pengangguran - Tidak Pernah Bekerja,Angkatan Kerja Pengangguran - Jumlah,Angkatan Kerja - Jumlah Angkatan Kerja,Angkatan Kerja - Persentase Bekerja terhadap Angkatan Kerja,Bukan Angkatan Kerja - Sekolah,Bukan Angkatan Kerja - Mengurus Rumah Tangga,Bukan Angkatan Kerja - Lainnya,Bukan Angkatan Kerja - Jumlah Bukan Angkatan Kerja,Angkatan Kerja + Bukan Angkatan Kerja (Jumlah ),Persentase Angkatan Kerja terhadap Penduduk Usia Kerja
Aceh,2359905,63690,102910,166600,2526505,93.41,364266,763324,227007,1354597,3881102,65.1
Sumatera Utara,6842252,281623,226182,507805,7350057,93.09,856408,2037013,459833,3353254,10703311,68.67
Sumatera Barat,2581524,106714,83895,190609,2772133,93.12,375778,698495,170370,1244643,4016776,69.01
Riau,3022988,113177,90660,203837,3226825,93.68,416163,1116111,187006,1719280,4946105,65.24
Jambi,1739003,43312,50678,93990,1832993,94.87,213137,530289,127434,870860,2703853,67.79
Sumatera Selatan,4091383,114016,124347,238363,4329746,94.49,472024,1222618,282624,1977266,6307012,68.65
Bengkulu,1031881,24819,18982,43801,1075682,95.93,120347,250580,52963,423890,1499572,71.73
Lampung,4280109,130101,79467,209568,4489677,95.33,434474,1253849,221544,1909867,6399544,70.16
Kepulauan Bangka Belitung,699881,25966,12790,38756,738637,94.75,73062,249873,42647,365582,1104219,66.89
Kepulauan Riau,1016600,85859,31317,117176,1133776,89.66,153357,359942,63519,576818,1710594,66.28
DKI Jakarta,4659251,353138,219642,572780,5232031,89.05,725470,1819345,422848,2967663,8199694,63.81
Jawa Barat,21674854,1531434,1001642,2533076,24207930,89.54,2868186,8520311,1916405,13304902,37512832,64.53
Jawa Tengah,17536935,832625,381717,1214342,18751277,93.52,1787373,5190617,1280029,8258019,27009296,69.43
DI Yogyakarta,2126316,72618,29228,101846,2228162,95.43,277808,526850,99934,904592,3132754,71.12
Jawa Timur,20962967,772402,528743,1301145,22264112,94.16,2095398,5901685,1397016,9394099,31658211,70.33
Banten,5552172,390906,270155,661061,6213233,89.36,785153,2075075,562599,3422827,9636060,64.48
Bali,2423419,123217,21283,144500,2567919,94.37,265941,497389,123878,887208,3455127,74.32
Nusa Tenggara Barat,2575956,82966,30464,113430,2689386,95.78,257388,687898,183024,1128310,3817696,70.45
Nusa Tenggara Timur,2725955,50042,71842,121884,2847839,95.72,336572,559986,151056,1047614,3895453,73.11
Kalimantan Barat,2458296,83961,67600,151561,2609857,94.19,281342,705440,195017,1181799,3791656,68.83
Kalimantan Tengah,1318133,29350,33959,63309,1381442,95.42,145995,420579,71501,638075,2019517,68.4
Kalimantan Selatan,2083319,68220,35428,103648,2186967,95.26,232724,608441,126267,967432,3154399,69.33
Kalimantan Timur,1692796,72347,52537,124884,1817680,93.13,230776,611283,115432,957491,2775171,65.5
Kalimantan Utara,330441,9485,7805,17290,347731,95.03,42541,108106,24454,175101,522832,66.51
Sulawesi Utara,1134802,48314,41934,90248,1225050,92.63,144774,444262,117550,706586,1931636,63.42
Sulawesi Tengah,1516347,29212,30169,59381,1575728,96.23,171255,428895,93266,693416,2269144,69.44
Sulawesi Selatan,4006620,141411,128406,269817,4276437,93.69,499293,1629166,340025,2468484,6744921,63.4
Sulawesi Tenggara,1289232,32342,29518,61860,1351092,95.42,154624,363818,65268,583710,1934802,69.83
Gorontalo,568563,14125,11285,25410,593973,95.72,67189,194191,38392,299772,893745,66.46
Sulawesi Barat,672986,12510,10622,23132,696118,96.68,60657,199584,35364,295605,991723,70.19
Maluku,775701,19474,44015,63489,839190,92.43,127257,240455,82735,450447,1289637,65.07
Maluku Utara,552502,8735,21262,29997,582499,94.85,79159,199182,45412,323753,906252,64.28
Papua Barat,459350,11553,21948,33501,492851,93.2,67543,123633,24642,215818,708669,69.55
Papua,1691745,17028,58630,75658,1767403,95.72,169205,422367,90170,681742,2449145,72.16
Indonesia,128454184,5796692,3971062,9767754,138221938,92.93,15352639,40960652,9437231,65750522,203972460,67.77
